Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-02,34.1,36.38,34.0,36.3,36.3,474627
2022-11-03,36.0,36.0,34.4,34.4,34.4,230844
2022-11-04,34.8,35.42,34.5,34.5,34.5,166649
2022-11-07,34.52,35.56,34.12,34.88,34.88,189233
2022-11-08,34.88,35.26,34.4,34.58,34.58,65352
2022-11-09,34.62,35.0,34.16,34.4,34.4,79637
2022-11-10,34.4,35.3,33.96,35.0,35.0,282409
2022-11-14,38.0,41.72,37.98,39.0,39.0,2523197
2022-11-15,40.0,41.34,38.78,40.04,40.04,2206332
2022-11-16,39.96,40.3,39.12,39.48,39.48,871042
2022-11-17,40.26,40.3,38.78,39.0,39.0,637635
2022-11-18,38.96,40.12,38.56,39.56,39.56,684820
2022-11-21,40.98,42.64,39.84,40.0,40.0,1256588
2022-11-22,40.3,40.3,38.94,39.76,39.76,817039
2022-11-23,40.04,40.74,39.48,39.92,39.92,863991
2022-11-24,40.28,40.4,39.6,40.0,40.0,599119
2022-11-25,40.9,41.6,40.04,40.58,40.58,1042042
2022-11-28,40.84,40.84,38.62,38.94,38.94,1187722
2022-11-29,38.9,39.74,37.52,39.26,39.26,1603189
2022-11-30,39.98,41.72,39.6,41.1,41.1,16904920
2022-12-01,40.32,41.0,38.7,39.24,39.24,1785024
2022-12-02,39.98,39.98,37.42,37.8,37.8,891561
2022-12-05,38.3,38.92,37.7,38.62,38.62,405771
2022-12-06,38.98,39.52,38.16,39.38,39.38,682716
2022-12-07,39.58,40.3,38.88,38.96,38.96,401952
2022-12-08,39.38,39.78,38.72,39.4,39.4,429949
2022-12-09,39.64,40.18,38.9,39.88,39.88,858635
2022-12-12,39.88,39.9,39.12,39.32,39.32,394937
2022-12-13,39.88,40.2,38.88,39.16,39.16,1121600
2022-12-14,39.74,40.48,39.28,39.5,39.5,600292
2022-12-15,39.9,39.9,37.94,38.14,38.14,412516
2022-12-16,38.6,38.72,37.56,38.26,38.26,846789
2022-12-19,38.26,39.0,38.12,38.76,38.76,250580
2022-12-20,38.5,39.38,38.2,39.38,39.38,227211
2022-12-21,39.4,40.18,39.14,39.92,39.92,245219
2022-12-22,40.12,40.6,39.72,40.1,40.1,308021
2022-12-23,40.3,40.44,39.44,39.72,39.72,314868
2022-12-27,40.1,40.42,39.54,40.2,40.2,101027
2022-12-28,40.26,41.08,39.9,40.28,40.28,181639
2022-12-29,40.32,40.88,39.8,40.0,40.0,203698
2022-12-30,40.2,40.2,39.06,39.52,39.52,349516
2023-01-02,40.0,40.36,39.64,40.26,40.26,99208
2023-01-03,40.38,40.84,39.98,40.04,40.04,959395
2023-01-04,40.58,40.7,39.9,40.14,40.14,926669
2023-01-05,40.44,41.74,40.42,41.14,41.14,1358678
2023-01-09,41.9,42.32,41.18,41.52,41.52,624905
2023-01-10,41.5,42.1,41.3,41.56,41.56,796477
2023-01-11,42.0,42.2,40.82,41.2,41.2,1006194
2023-01-12,41.7,42.42,40.8,41.4,41.4,1067541
2023-01-13,41.62,42.0,40.66,40.8,40.8,461406
2023-01-16,40.8,41.52,40.74,41.14,41.14,198992
2023-01-17,41.14,42.16,40.66,41.86,41.86,331344
2023-01-18,40.46,42.3,40.24,41.56,41.56,6726203
2023-01-19,41.54,42.0,40.42,40.84,40.84,3102069
2023-01-20,41.22,42.0,40.5,40.52,40.52,8106292
2023-01-23,41.08,41.44,40.1,40.9,40.9,1525230
2023-01-24,41.2,41.56,40.26,40.46,40.46,1372166
2023-01-25,40.5,41.06,40.0,40.36,40.36,1082638
2023-01-26,41.0,41.0,39.92,40.38,40.38,923393
2023-01-27,40.6,41.16,40.24,40.8,40.8,1513160
2023-01-30,41.0,41.56,40.66,40.88,40.88,1761115
2023-01-31,40.88,42.12,40.76,41.88,41.88,1582670
2023-02-01,41.8,42.96,41.78,42.04,42.04,1262447
2023-02-02,42.6,43.6,42.42,43.0,43.0,952837
2023-02-03,43.2,43.88,42.8,43.36,43.36,1572068
2023-02-06,43.36,44.5,42.78,43.38,43.38,652855
2023-02-07,43.36,43.66,42.8,43.46,43.46,1135137
2023-02-08,43.86,44.68,43.5,43.76,43.76,826042
2023-02-09,44.14,44.14,43.0,43.28,43.28,486407
2023-02-10,43.5,43.5,42.1,42.6,42.6,1046939
2023-02-13,42.56,43.66,42.52,43.1,43.1,622486
2023-02-14,43.34,43.58,42.4,42.66,42.66,461694
2023-02-15,42.88,43.66,42.0,43.4,43.4,1074949
2023-02-16,43.84,43.96,43.24,43.58,43.58,295989
2023-02-17,43.98,43.98,42.94,43.62,43.62,443996
2023-02-20,43.5,43.84,43.3,43.58,43.58,300641
2023-02-21,43.68,43.7,42.5,42.76,42.76,432552
2023-02-22,42.62,43.32,42.38,42.98,42.98,410116
2023-02-23,43.36,43.56,43.14,43.34,43.34,433505
2023-02-24,43.72,43.72,42.92,43.5,43.5,460641
2023-02-27,43.5,44.46,43.12,44.0,44.0,532277
2023-02-28,44.34,44.68,43.36,44.06,44.06,2270571
2023-03-01,44.16,44.16,43.34,43.9,43.9,366301
2023-03-02,44.0,44.0,42.64,42.78,42.78,258193
2023-03-03,42.98,43.04,42.74,42.84,42.84,402120
2023-03-06,43.42,44.08,43.1,43.52,43.52,381952
2023-03-07,44.0,44.04,43.22,43.46,43.46,312075
2023-03-08,43.96,43.96,43.24,43.4,43.4,213878
2023-03-09,43.4,43.4,42.62,42.76,42.76,338644
2023-03-10,42.4,42.4,41.42,42.14,42.14,521793
2023-03-13,42.3,42.4,40.62,41.08,41.08,745602
2023-03-14,41.12,42.46,41.0,42.14,42.14,1003151
