Date,Open,High,Low,Close,Adjusted_close,Volume
2023-06-26,68139.34,69045.83,68139.34,69045.83,69045.83,20560000
2023-06-27,68671.06,68671.06,68147.13,68284.74,68284.74,32240000
2023-06-28,68591.96,68591.96,68237.41,68580.27,68580.27,26730000
2023-06-29,69038.01,69180.43,68930.44,69180.43,69180.43,29300000
2023-06-30,68940.61,69234.3,68940.61,69234.3,69234.3,27580000
2023-07-03,69800.25,69957.91,69712.32,69957.91,69957.91,25120000
2023-07-04,69756.18,69756.18,69428.82,69441.23,69441.23,21820000
2023-07-05,68847.32,68847.32,68391.92,68391.92,68391.92,34370000
2023-07-06,68145.86,68381.13,68145.86,68358.78,68358.78,45990000
2023-07-07,69186.91,69186.91,68612.05,69182.7,69182.7,30700000
2023-07-10,69040.73,69524.07,69040.73,69524.07,69524.07,19600000
2023-07-11,69754.23,70007.42,69754.23,69954.97,69954.97,24440000
2023-07-12,70504.35,71790.34,70504.35,71790.34,71790.34,32610000
2023-07-13,72128.96,72128.96,71896.2,71896.2,71896.2,29970000
2023-07-14,72683.88,72683.88,72408.04,72408.04,72408.04,25560000
2023-07-17,73158.45,73158.45,72868.49,72904.96,72904.96,79570000
2023-07-18,73157.93,73631.17,73157.93,73631.17,73631.17,40320000
2023-07-19,74009.26,74009.26,73700.19,73888.51,73888.51,35300000
2023-07-20,73883.9,73883.9,73644.9,73644.9,73644.9,28790000
2023-07-21,73341.89,73601.28,73341.89,73537.08,73537.08,23920000
2023-07-24,74037.29,74037.29,73965.51,73975.3,73975.3,24970000
2023-07-25,74077.78,74217.75,73911.92,74217.75,74217.75,25460000
2023-07-26,73700.54,73700.54,73514.13,73651.2,73651.2,22240000
2023-07-27,74164.86,74302.86,74125.47,74302.86,74302.86,28820000
2023-07-28,74089.38,74288.16,74089.38,74288.16,74288.16,24810000
2023-07-31,74428.65,74588.28,74428.65,74588.28,74588.28,36170000
2023-08-01,74241.49,74417.14,74241.49,74417.14,74417.14,26880000
2023-08-02,73270.51,73397.03,73070.14,73070.14,73070.14,28190000
2023-08-03,72746.4,73011.94,72744.66,73011.94,73011.94,24450000
2023-08-04,73621.29,73766.76,73621.29,73766.76,73766.76,20280000
2023-08-07,73328.37,73328.37,73112.2,73112.2,73112.2,23890000
2023-08-08,72417.41,72417.41,71982.41,71982.41,71982.41,27140000
2023-08-09,72764.78,72764.78,72196.17,72236.35,72236.35,32690000
2023-08-10,72742.3,73250.39,72742.3,73196.21,73196.21,31250000
2023-08-11,72563.61,72809.89,72563.61,72809.89,72809.89,23230000
2023-08-14,72726.41,72726.41,72420.28,72420.28,72420.28,20760000
2023-08-16,71678.47,71678.47,71109.64,71109.64,71109.64,34550000
2023-08-17,71205.06,71205.06,70496.83,70496.83,70496.83,24470000
2023-08-18,69966.33,70281.17,69956.16,70281.17,70281.17,27640000
2023-08-21,70568.1,70568.1,70480.09,70525.61,70525.61,28490000
2023-08-22,70664.85,70672.16,70388.42,70388.42,70388.42,32130000
2023-08-23,70331.42,70367.3,70124.86,70367.3,70367.3,28090000
2023-08-24,70856.64,70856.64,70184.49,70184.49,70184.49,23120000
2023-08-25,69934.51,70068.9,69880.8,69880.8,69880.8,26540000
2023-08-28,70168.58,70935.91,70168.58,70935.91,70935.91,25770000
2023-08-29,70811.49,70989.46,70675.89,70989.46,70989.46,32710000
2023-08-30,70902.57,71207.28,70902.57,71202.65,71202.65,19160000
2023-08-31,71056.9,71056.9,70605.21,70605.21,70605.21,43680000
